0 X 14 39 53 X X X X X 74 X X 69 X 58 4 X 50 77 21 X 27 86 X X X 64 X 90 X 85 X X 17 X 48 X 86 70 X 60 X X X X X X X 42 29 4 85 10 X X X 31 X X X X 85 X X X 51 34 36 X X X 33 X X 77 100 X X X X X 25 X X 44 X 100 X 81 43 53 51 X X X X X 47 24 
X X X X X X 26 54 X X 70 0 X X X X X X X 75 28 X 56 X 26 X X 31 34 55 46 32 19 26 39 X X 59 X X X 46 78 X 64 X 42 X X X 22 X X 95 85 X X X 82 X 19 47 51 X X X X 55 73 55 100 52 X X X X X 77 44 X 21 X 83 X 19 83 X X X 16 100 X 20 48 X X 30 X 24 X 
X 38 74 78 X 76 73 X X X 87 X 0 X 61 66 75 40 41 X X 28 X X X 84 X X 33 4 X X X 54 23 X 64 X X X X 5 X 94 X X X X 25 X 40 X 34 20 X 28 X X X X X X X 48 89 X 48 X X X 83 X 83 X X 41 79 X 88 X 92 94 X X 76 25 X X X X X 56 X 51 52 37 30 X 62 X 
69 37 X 34 50 X X X 13 X 99 X X 0 X 26 97 X X 79 54 X X X 11 95 X X X X X 32 X X X 8 21 X X X X 82 X X X 48 32 X 93 X X 1 X X X 68 X X X 66 67 29 X 90 22 X X X 100 X X 34 31 50 31 X X 24 85 X 29 X 50 80 X 65 47 X X 93 X X 71 X X 10 96 6 X 84 
X 65 85 X X 3 64 63 X X 59 X 61 X 0 X 75 43 X 23 38 X 11 X 36 97 14 X 25 47 X X 56 27 X 100 98 82 43 X 6 X 14 X 87 9 X 35 66 X X X X 40 43 4 41 X X 58 X 55 X X X X X X X X X X 38 X 80 X X X X X X X 57 21 X 41 54 X X X X 7 X 61 44 X X 42 X 25 
58 71 35 65 X X X X 73 X X X 66 26 X 0 24 15 X 50 15 X 81 32 X X 24 48 58 37 X 58 9 X X 37 90 37 X 45 93 36 65 45 98 31 48 X X X 41 X 39 13 41 X X X 98 33 73 X X 69 5 X 56 11 X 50 31 19 54 43 X X 4 X 58 54 79 72 X 52 X X 42 47 28 X 79 21 68 77 X 46 X 14 X X 
4 X X 28 92 51 19 63 X 71 53 X 75 97 75 24 0 51 2 14 X X X X X 74 49 X X 33 51 20 14 69 X X 94 84 31 16 49 92 30 X X X 47 94 X X 84 X X 93 X X 10 93 8 X X X X X X 57 86 X 52 X 11 51 X X 44 99 X 48 X X 33 X X X 67 72 X 67 X X X 23 84 24 X 22 X 97 X X 
X X X 78 21 X 29 39 X X 17 X 40 X 43 15 51 0 X 46 X X X 74 87 37 24 X X 89 84 31 48 X X X X X 73 10 15 36 97 X 61 X 97 X X 6 99 61 84 X 42 69 92 85 X X X X 49 X 37 X X 96 88 50 X 22 X 7 X X X 14 X X X X X 67 84 18 X 59 X 52 18 70 29 84 X 97 X X 98 82 
50 48 7 X X 33 X 45 1 19 2 X 41 X X X 2 X 0 X X 55 X 97 50 55 15 94 8 X 41 17 25 X 95 39 X X 10 100 X X 58 63 23 X X X X 62 85 51 X 58 X 68 X X X 36 27 X X X 38 64 13 X 59 X 13 73 X X X 38 41 X X X X X X X 93 X X 65 22 X 59 X X 37 X 93 X 59 X 46 
77 X 51 X X X X X 63 X 82 75 X 79 23 50 14 46 X 0 X X X 4 34 43 X 81 30 X 92 49 X X X X 68 X X X 76 X X 31 X 71 88 21 X X X X 56 53 X X X 25 X 1 X 79 87 X X 8 55 X X X X 30 7 4 51 X 84 44 X X X X X 39 X X 34 67 59 X X 99 X 12 X X X X 23 X 
21 75 X X X X X X 13 82 X 28 X 54 38 15 X X X X 0 97 66 4 43 X 52 X 51 54 X X X X X X X X X X 74 49 X 98 X X X X 58 X 77 69 15 16 71 56 95 85 97 20 5 52 36 X X X X X X X 74 77 35 X X X 31 26 46 65 X X 17 47 48 X X 57 X 32 X 69 X X X X 89 11 19 X 
X X 64 64 93 X X X 82 X X X 28 X X X X X 55 X 97 0 X 60 59 X 41 X X 7 X X X 56 55 X X X X X 40 63 11 X X 24 X X 7 X 94 19 X 62 X 22 33 56 X X 56 49 X X 43 X X X 28 X 98 68 X X 16 7 X 6 X X X X X 87 61 14 X 38 45 84 X 76 X X X 38 56 X X X 
27 X 25 X X 38 41 X 64 X X 56 X X 11 81 X X X X 66 X 0 X X X X X 80 X X 13 53 15 X X X 47 88 44 23 14 X X 48 66 30 X 48 62 80 X 52 X 56 83 22 31 93 52 X X X 93 19 68 X X X 71 X X X X X X X 15 35 34 X X X X 21 X 78 X X 93 5 9 100 X 2 X X 14 16 X 
86 92 35 14 X X 76 X 50 21 X X X X X 32 X 74 97 4 4 60 X 0 95 92 6 50 43 38 37 X X 17 X 35 X 91 X 73 55 X 53 31 11 X X 29 35 X 89 36 X X X X 31 45 X X X X 76 X 71 90 X 24 X X 6 75 X X X X 92 X 23 X X 1 X X X X 76 60 3 24 21 X 54 X X X 69 3 4 X 
X X 44 X X 77 31 12 X 3 X 26 X 11 36 X X 87 50 34 43 59 X 95 0 27 X 12 X 56 53 X X X 54 X X X X X 35 24 83 X X X 11 X X 21 2 25 99 X 55 X 63 X 87 63 71 X X 32 59 65 53 X X 37 14 X X 22 X X 92 50 X 69 47 X 1 X X X X X X X X X 12 76 40 63 X 2 77 X 
X X 85 44 27 X 54 X X 50 X X 84 95 97 X 74 37 55 43 X X X 92 27 0 27 38 81 25 55 X 84 45 25 27 76 X X X X X 13 X 87 25 X X 30 X X 48 88 100 18 99 20 34 43 61 X 31 13 X X 18 60 56 X 13 X X 51 X 92 7 X X 98 X X X 6 61 78 65 X X 56 X 44 X 68 X X X X 18 X X 
X 88 X 69 11 X 71 X 3 X 3 X X X 14 24 49 24 15 X 52 41 X 6 X 27 0 31 30 80 X 92 X 20 X 95 29 43 X 13 99 X X 35 12 X 18 X X 64 X 70 49 X X 44 33 X X X X X X X 33 90 X X 61 48 71 X X X X X 67 37 6 16 X X 58 82 30 62 83 87 47 X X X X 27 67 79 X 5 X X 
64 97 47 62 X 27 51 33 X X 89 31 X X X 48 X X 94 81 X X X 50 12 38 31 0 X X X X X 78 77 X X X X 15 X X 58 X 21 15 63 X X X X 3 X X 86 X 29 73 97 91 26 X 66 X 88 X X X X 67 X X X 86 X 61 51 53 84 X 5 X 49 X X 33 X 31 X X 96 X X X X X X X X 82 
X X X 50 94 86 X X X X 96 34 33 X 25 58 X X 8 30 51 X 80 43 X 81 30 X 0 26 X 84 22 X 95 40 X X 83 40 54 X 11 X 87 9 88 9 72 74 48 29 65 37 X X 40 X X 24 X X 70 X 11 33 25 X X 96 X 44 2 X X 98 X 29 16 77 X X 14 74 67 74 X 78 77 77 X X 22 X 85 X 40 90 17 X 
90 65 8 X X 93 X 77 X X 46 55 4 X 47 37 33 89 X X 54 7 X 38 56 25 80 X 26 0 31 X X X 21 43 X X 23 X X 30 X 35 73 X X 78 X 5 X 36 X 38 X 49 X X X X 86 X 42 X X 9 X X 79 15 X X 1 X 8 X X X X 22 X X 6 21 X 4 X 25 6 27 64 51 68 94 X 68 X 70 X X 
X X X 98 76 X X 51 X 52 X 46 X X X X 51 84 41 92 X X X 37 53 55 X X X 31 0 60 92 X X 52 1 X X X X 65 X X X X X X 37 47 X X X 64 58 X 42 X 29 X 81 17 X X X 4 57 15 X X X X 44 10 5 34 14 X 5 45 18 X X 38 52 X X X X X 49 X X X 70 93 57 X 28 89 
85 61 23 19 X X X X X X 77 32 X 32 X 58 20 31 17 49 X X 13 X X X 92 X 84 X 60 0 X X 6 X X X X 51 61 X 80 76 41 3 X 56 94 41 X 1 X X X 10 7 X X X 13 X X 85 89 X X X 79 68 8 X X X X 32 X X 59 66 X X 1 X X 7 X 97 68 24 X X X X X 55 66 X 23 X 
X X X 98 23 X X 81 X X X 19 X X 56 9 14 48 25 X X X 53 X X 84 X X 22 X 92 X 0 82 5 X X X X X 53 21 X X X X 53 X 66 X 9 X 84 X X X X 15 30 X X X X 71 32 24 33 39 X X 73 38 73 X X X X X 69 X 78 X 91 69 27 X 76 X 84 9 49 X X 6 X X X X X X 
X 60 57 X X 29 15 29 X 28 X 26 54 X 27 X 69 X X X X 56 15 17 X 45 20 78 X X X X 82 0 X 86 28 X 75 84 X 47 X X X 70 39 82 X X 77 88 8 14 X 77 46 X 4 24 5 24 49 66 X X 43 X X X 86 93 X 12 X 74 X 80 68 X 31 20 7 26 58 72 X X X 33 X 73 43 X 89 X X 50 X X 
17 82 92 X X X 55 88 X X X 39 23 X X X X X 95 X X 55 X X 54 25 X 77 95 21 X 6 5 X 0 81 19 X 28 45 X X X X 16 24 67 100 95 73 46 X X 22 7 57 83 39 X 35 82 50 X X 36 X 71 56 X X X 5 X 74 55 X X X X 84 X X 75 X X X 68 64 25 X 87 73 X 98 65 73 45 5 99 13 
X X X X X 61 X 46 18 X 24 X X 8 100 37 X X 39 X X X X 35 X 27 95 X 40 43 52 X X 86 81 0 17 61 X 17 X 34 20 5 X X 23 89 X X 77 X 98 27 54 38 X 26 75 X 90 X 100 X 13 X X X 72 70 16 X X X 48 X X 78 X X X X 78 39 X 24 X 81 63 X 54 X 6 X 80 X 31 X X X 
48 10 51 X 4 34 X X X 29 6 X 64 21 98 90 94 X X 68 X X X X X 76 29 X X X 1 X X 28 19 17 0 X X X X 29 X 63 64 X 35 75 X 36 X 61 X 60 73 8 6 X 48 X X 3 X X X 11 X X 82 96 56 X X X 88 81 X 57 X X 10 X X 60 61 99 X 43 X 12 X X X X 87 X 91 X X 30 
X 8 49 25 X X X X X X 67 59 X X 82 37 84 X X X X X 47 91 X X 43 X X X X X X X X 61 X 0 19 X 37 X X X X 33 X 79 67 X 41 X X 71 40 X 49 X X X 41 X X X X X 50 69 X X 21 39 X 64 86 90 X X X X 78 X 51 X 43 X X X X 47 X X 41 37 7 24 X X 1 X 
86 X 70 91 X X 55 80 X 89 70 X X X 43 X 31 73 10 X X X 88 X X X X X 83 23 X X X 75 28 X X 19 0 44 44 43 X 67 86 7 86 X X 77 60 40 X 56 62 32 X 29 4 X X 67 X X X X X 91 X X 61 X X X X X 45 58 89 X 61 X X X X X 14 X 96 84 X 49 84 55 36 58 X 87 40 X 
70 98 63 X X X 52 7 X 73 X X X X X 45 16 10 100 X X X 44 73 X X 13 15 40 X X 51 X 84 45 17 X X 44 0 93 99 X 64 X 18 45 X 98 44 56 X 51 19 65 X 14 87 X 57 79 82 X 92 X 12 X 50 X 26 93 X 67 17 14 X X 91 X 7 42 36 5 66 98 73 36 64 66 57 19 84 58 62 X X X 64 92 37 
X X 74 13 19 X X X X X X X X X 6 93 49 15 X 76 74 40 23 55 35 X 99 X 54 X X 61 53 X X X X 37 44 93 0 X X 18 24 X X 71 97 X 47 X X X X X 80 5 1 18 X X X X X X 96 32 51 X 75 X X 4 22 X 37 93 X X 60 X X X X X 61 X X X X 38 12 40 16 8 X X X X 
60 83 X 1 X 95 X X 20 8 18 46 5 82 X 36 92 36 X X 49 63 14 X 24 X X X X 30 65 X 21 47 X 34 29 X 43 99 X 0 5 8 X X X X X X X 93 X 89 59 X X 57 37 74 X 85 31 42 62 89 X 26 44 95 21 47 32 31 41 19 81 69 X X 20 X 94 X X X X X 46 X X 29 X X X X X 17 13 X 
X X X X 83 X X X X 31 68 78 X X 14 65 30 97 58 X X 11 X 53 83 13 X 58 11 X X 80 X X X 20 X X X X X 5 0 60 X X 49 X 96 29 X 94 X 30 21 72 X 88 X 3 37 75 11 72 8 38 64 28 X X X 15 X X X 72 69 X 57 X X 28 X X X 41 7 X 36 22 55 41 59 86 21 X 5 X 80 X 
X X 7 X 90 82 X 65 X X 56 X 94 X X 45 X X 63 31 98 X X 31 X X 35 X X 35 X 76 X X X 5 63 X 67 64 18 8 60 0 57 5 36 X 16 X X 71 X 35 94 X 58 X 54 X 47 X 92 84 X 34 89 X 89 54 X 27 18 X X 33 X X 24 50 5 X 51 74 57 X X 8 33 X X X 25 X 35 53 33 71 18 86 
X X 40 42 31 X X X 36 32 24 64 X X 87 98 X 61 23 X X X 48 11 X 87 12 21 87 73 X 41 X X 16 X 64 X 86 X 24 X X 57 0 42 X 23 85 X X X 21 X 47 72 10 X X 64 X X 77 X 52 17 X X 30 X 9 X 82 X 35 73 44 X 58 X X 65 67 X X 76 X X X 38 X X X 53 X 57 X 25 X X 
X 75 64 X X 16 X 2 X 72 X X X 48 9 31 X X X 71 X 24 66 X X 25 X 15 9 X X 3 X 70 24 X X 33 7 18 X X X 5 42 0 54 62 X X 80 30 X X 43 4 40 76 X 35 59 X 80 X X X 100 44 80 X 57 53 86 X 49 X X 75 X 25 9 X 39 X 36 X 22 15 X X X X X 14 53 X X 31 68 X 
X 24 X X X 64 X 58 47 X 42 42 X 32 X 48 47 97 X 88 X X 30 X 11 X 18 63 88 X X X 53 39 67 23 35 X 86 45 X X 49 36 X 54 0 X 97 X X 43 X 13 X 43 99 89 X 46 X 54 X 63 69 58 94 X 85 X 67 X X 1 X 45 X 92 X X 15 21 X 79 71 37 X 94 X 62 X X 27 57 X 60 X 98 X 89 
X 43 75 X 55 X X 59 X X 75 X X X 35 X 94 X X 21 X X X 29 X X X X 9 78 X 56 X 82 100 89 75 79 X X 71 X X X 23 62 X 0 X 64 12 99 X 17 48 X X X 70 67 X 70 79 32 X X X 80 X X X 93 37 X 52 34 X X X X X X X 100 42 X 54 36 X 44 70 X X 10 X X 12 46 68 X 
X 27 14 X X X X X 51 14 X X 25 93 66 X X X X X 58 7 48 35 X 30 X X 72 X 37 94 66 X 95 X X 67 X 98 97 X 96 16 85 X 97 X 0 X 20 X X 85 96 81 36 41 X X 38 84 X X X X X X X X 70 47 X 32 25 4 X 33 X X X 21 90 28 X 84 52 21 60 X 23 95 48 31 X 46 X 1 19 21 
42 8 X X X 77 X 70 X 58 21 X X X X X X 6 62 X X X 62 X 21 X 64 X 74 5 47 41 X X 73 X 36 X 77 44 X X 29 X X X X 64 X 0 97 X 14 X 28 X 79 X 59 45 11 X X 24 73 X X X 94 39 X 86 38 X X X 5 X 2 33 61 X X 50 24 95 X X X X 78 X 69 46 X 31 97 X X X 
29 14 41 33 X 87 81 33 X 36 80 22 40 X X 41 84 99 85 X 77 94 80 89 2 X X X 48 X X X 9 77 46 77 X 41 60 56 47 X X X X 80 X 12 20 97 0 5 X 92 13 40 X 22 69 X 80 52 64 X 57 49 X 65 X 53 X X X 34 96 X 62 11 87 21 X 1 42 X 87 X 74 77 X 10 81 2 X 16 X X X 9 X 55 
4 X 64 4 X X X 44 X 24 X X X 1 X X X 61 51 X 69 19 X 36 25 48 70 3 29 36 X 1 X 88 X X 61 X 40 X X 93 94 71 X 30 43 99 X X 5 0 X 89 21 40 48 79 X 9 73 X X 89 X 45 27 X 67 12 42 45 58 3 93 X X X 18 23 X 59 32 X X X X 82 46 3 83 4 X X 70 52 51 37 23 X 
85 X 77 48 47 X X 75 X X 27 X 34 X X 39 X 84 X 56 15 X 52 X 99 88 49 X 65 X X X 84 8 X 98 X X X 51 X X X X 21 X X X X 14 X X 0 X X X 49 12 50 X X 3 14 93 X X X X 78 X X 29 81 X X 59 X 96 44 86 74 X 3 X X X X 97 X 89 X X X X X X X X 68 44 
10 X 25 43 X 66 99 X 95 57 X 95 20 X 40 13 93 X 58 53 16 62 X X X 100 X X 37 38 64 X X 14 22 27 60 71 56 19 X 89 30 35 X X 13 17 85 X 92 89 X 0 45 47 X X X X 90 59 X X X 68 X X 94 X 35 X X X 100 X 78 36 X 3 X 11 X 100 18 X X X X X X 91 85 X X X X X X X 
X X 100 X X X X X 52 2 X 85 X X 43 41 X 42 X X 71 X 56 X 55 18 X 86 X X 58 X X X 7 54 73 40 62 65 X 59 21 94 47 43 X 48 96 28 13 21 X 45 0 X X X X X X X X X 2 84 8 90 X 60 19 X X X 82 X X X X X X X 2 52 100 X X X X X X X 73 X 2 X 76 X 90 32 
X X 96 91 28 26 1 X X X 35 X 28 68 4 X X 69 68 X 56 22 83 X X 99 44 X X 49 X 10 X 77 57 38 8 X 32 X X X 72 X 72 4 43 X 81 X 40 40 X 47 X 0 X X 24 X X 30 X 39 5 X 13 X X X 80 100 X 30 X X 12 X X 55 87 X 38 31 39 16 X 9 X X X X 96 38 54 21 X X X 43 
X 20 X 14 X 31 54 89 X 80 X X X X 41 X 10 92 X X 95 33 22 31 63 20 33 29 40 X 42 7 X 46 83 X 6 49 X 14 80 X X 58 10 40 99 X 36 79 X 48 49 X X X 0 10 96 5 X X X X 81 X 26 80 34 59 X 93 65 34 X X 98 X X 48 43 X X 63 33 X X X X 34 69 X 82 X X X X X X 62 
31 11 X 67 89 X X 49 30 X X X X X X X 93 85 X 25 85 56 31 45 X 34 X 73 X X X X 15 X 39 26 X X 29 87 5 57 88 X X 76 89 X 41 X 22 79 12 X X X 10 0 X 54 X X X X 14 29 X 31 X 13 40 66 X 90 X 63 14 X X X 71 57 72 66 X X 13 57 X 29 69 X X X X 83 40 1 100 X 
X X 18 30 97 X 85 90 X X X 82 X X X 98 8 X X X 97 X 93 X 87 43 X 97 X X 29 X 30 4 X 75 48 X 4 X 1 37 X 54 X X X 70 X 59 69 X 50 X X 24 96 X 0 36 71 74 82 X X X 75 80 19 55 54 X 83 X 54 73 X X 99 41 77 X 58 X X X X X 3 X X 8 33 X 7 24 X 77 X X 
X X X X X 96 40 X X 27 15 X X 66 58 33 X X 36 1 20 X 52 X 63 61 X 91 24 X X X X 24 35 X X X X 57 18 74 3 X 64 35 46 67 X 45 X 9 X X X X 5 54 36 0 X 87 X X 32 X X 21 60 51 X 55 X 37 9 9 X 82 X 13 33 59 95 X X 62 X X X X 91 90 49 X X 74 X 40 X 85 
X X 24 55 X 51 74 X 8 20 X 19 X 67 X 73 X X 27 X 5 56 X X 71 X X 26 X 86 81 13 X 5 82 90 X 41 X 79 X X 37 47 X 59 X X 38 11 80 73 X 90 X X X X 71 X 0 89 26 54 X 43 89 49 55 4 39 X 54 X X X 18 42 X X 67 X X X X X 46 X 38 67 57 X X 40 X X 29 80 X 35 
X 94 60 X 45 X X 41 29 72 X 47 X 29 55 X X X X 79 52 49 X X X 31 X X X X 17 X X 24 50 X 3 X 67 82 X 85 75 X X X 54 70 84 X 52 X 3 59 X 30 X X 74 87 89 0 X 41 X 28 93 95 52 74 X X 92 X X X X X X X 24 15 56 X X 41 13 81 7 7 58 X 38 94 34 9 X 31 X 70 
85 X X X 51 X 4 92 X 38 X 51 X X X X X 49 X 87 36 X X 76 X 13 X 66 70 42 X X X 49 X 100 X X X X X 31 11 92 77 80 X 79 X X 64 X 14 X X X X X 82 X 26 X 0 87 X 87 23 X 88 X 1 X 25 X 15 X 99 90 X X X X X 87 X X 66 X 92 5 18 X X X X 97 93 20 X X 
X X X X 75 X X 29 X 11 X X 48 90 X 69 X X X X X X 93 X 32 X X X X X X 85 71 66 X X X X X 92 X 42 72 84 X X 63 32 X 24 X 89 93 X X 39 X X X X 54 41 87 0 17 X 26 X X X X X X X X X X 66 X 14 X X 23 3 X 57 X X X X X 6 X X 24 X 47 X X X 
X 51 X 31 X 74 59 X 74 78 62 X 89 22 X 5 X 37 38 X X 43 19 71 59 X 33 88 11 X X 89 32 X 36 13 X X X X X 62 8 X 52 X 69 X X 73 57 X X X 2 5 81 14 X 32 X X X 17 0 X X 67 X X X 57 X X X 84 89 44 X X 72 X 56 11 74 66 X X X X 44 11 X X 82 X X X X X 
X 14 X X 99 10 34 X 88 X 14 X X X X X 57 X 64 8 X X 68 90 65 18 90 X 33 9 4 X 24 X X X 11 X X 12 X 89 38 34 17 X 58 X X X 49 45 X 68 84 X X 29 X X 43 28 87 X X 0 X X X X X 38 X X X X 77 X 99 91 X X X 6 X X X X X 31 X 84 X 31 X X X 43 37 X 
51 X 97 21 78 X X 37 X X X X 48 X X 56 86 X 13 55 X X X X 53 60 X X 25 X 57 X 33 43 71 X X 50 X X 96 X 64 89 X 100 94 X X X X 27 X X 8 13 26 X 75 X 89 93 23 26 X X 0 X X 97 X 99 X X 59 X X 27 33 46 86 7 67 39 X 41 53 7 11 8 X 47 X 93 72 100 X 87 8 X 
34 85 X X 40 X 68 X 73 X X 55 X X X 11 X 96 X X X X X 24 X 56 X X X X 15 X 39 X 56 X X 69 91 50 32 26 28 X X 44 X 80 X X 65 X X X 90 X 80 31 80 21 49 95 X X 67 X X 0 X X 41 X X 93 X X X 20 13 X 96 X 3 X X 99 95 55 23 19 X 16 3 86 96 28 52 79 67 64 
36 51 49 X 33 X 90 X 72 X X 73 X 100 X X 52 88 59 X X 28 X X X X 61 X X 79 X 79 X X X 72 82 X X X 51 44 X 89 30 80 85 X X 94 X 67 78 94 X X 34 X 19 60 55 52 88 X X X X X 0 55 X X X 12 10 X X 48 15 X X 79 89 X 45 X X 81 X 84 76 24 X 77 X X X X 38 26 
X X X X 78 X 1 X 12 X 9 55 X X X 50 X 50 X X X X 71 X 37 13 48 67 96 15 X 68 X X X 70 96 X X 26 X 95 X 54 X X X X X 39 53 12 X X 60 X 59 13 55 51 4 74 X X X X 97 X 55 0 X X 19 X X 1 X 83 4 18 58 97 39 36 7 70 1 74 49 86 6 X X X X 100 X 24 77 52 
X X X 67 X X 72 X 13 15 11 100 83 X X 31 11 X 13 X 74 98 X 6 14 X 71 X X X X 8 73 86 X 16 56 21 61 93 75 21 X X 9 57 67 X 70 X X 42 X 35 19 80 X 40 54 X 39 X 1 X X X X 41 X X 0 34 91 X 87 65 19 68 29 X 13 X 100 67 X 43 33 X X X X X X 39 X 22 X 47 86 X 
X 82 X 94 X 97 X X X 4 20 52 X 34 X 19 51 22 73 30 77 68 X 75 X X X X 44 X X X 38 93 5 X X 39 X X X 47 15 27 X 53 X 93 47 86 X 45 29 X X 100 93 66 X 55 X X X X 57 38 99 X X X 34 0 34 X 75 32 X 5 X X X 70 X 89 X X X X X 55 X 96 75 X X X 86 10 89 17 
33 33 X X X X 66 18 67 X X X 83 31 38 54 X X X 7 35 X X X X 51 X X 2 1 44 X 73 X X X X X X 67 X 32 X 18 82 86 X 37 X 38 X 58 81 X X X 65 X 83 X 54 92 25 X X X X X X 19 91 34 0 X 56 X 83 87 14 73 87 73 X 78 95 53 59 X X 57 X X X 6 X X X 5 X 37 
X 42 71 59 58 43 33 X X 71 X X X 50 X 43 X 7 X 4 X X X X 22 X X 86 X X 10 X X 12 74 X X 64 X 17 4 31 X X X X 1 X 32 X 34 3 X X X 30 34 90 X 37 X X X X X X X 93 12 X X X X 0 X 72 X X 72 X 42 70 X 1 10 X X X X X X 37 82 X 80 X 9 28 X X 
X 19 32 X 69 8 X X 78 2 X X X 31 80 X 44 X X 51 X 16 X X X 92 X X X 8 5 X X X 55 48 88 86 X 14 22 41 X X 35 49 X 52 25 X 96 93 X 100 82 X X X 54 9 X X 15 X X X 59 X 10 X 87 75 56 X 0 X X 91 98 X 1 43 X 85 X X 17 X X 38 X X 36 70 X X X 22 71 68 
77 79 X X X 26 X 85 X X X X 41 X X X 99 X 38 X X 7 X X X 7 X 61 98 X 34 32 X 74 X X 81 90 X X X 19 72 33 73 X 45 34 4 X X X 59 X X X X 63 73 9 X X X X 84 X X X X 1 65 32 X 72 X 0 23 X 48 X X X X X X 52 X 99 69 98 X 100 X X X X 39 X 45 12 
100 X 93 52 X X X 18 91 88 77 X 79 X X 4 X X 41 84 31 X X 92 92 X 67 51 X X 14 X X X X X X X 45 X 37 81 69 X 44 X X X X 5 62 X X 78 X 12 98 14 X X 18 X 99 X 89 77 X X X X 19 X 83 X X 23 0 X 24 X 8 X X 2 X 16 89 X X 20 X 66 77 X 95 84 X 85 X X 
X 73 X 57 60 X 47 88 76 63 X 77 X 24 X X 48 14 X 44 26 6 15 X 50 X 37 53 29 X X X X 80 X 78 57 X 58 91 93 69 X X X 75 92 X 33 X 11 X 96 36 X X X X X 82 42 X 90 66 44 X 27 20 48 83 68 5 87 X 91 X X 0 X X X X 46 X X 53 X 36 17 94 34 X 100 X 95 X X X X 86 
